number,rgb,name,description
R43 ,"[255, 62, 147]",Deep Pink,"Rich, hot pink. Electric in effect with rich saturation. (Transmission = 28%)."
R343,"[255, 57, 127]", Neon Pink,"A bright, dark pink excellent for musicals or rock and roll concert lighting. A good color for creating fake neon effects with fluorescent tubes. (Transmission = 33%)."
R344,"[255, 5, 211]", Follies Pink,"A vibrant, almost fluorescent pink with a cool component. Traditionally important as a special effects color in the Broadway musical. Follow spot and dance applications as a modeling color. (Transmission = 21%)."
R45 ,"[235, 1, 109]",Rose,Use on scenery and background effects. Adds tone and modeling to scenery. (Transmission = 8%).
R46 ,"[189, 4, 93]",Magenta,Similar uses as 45 where more saturation is needed. (Trans.= 6%). (Transmission = 6%).
R346,"[255, 45, 213]", Tropical Magenta,(Transmission = 22%).
R47 ,"[204, 78, 185]",Light Rose Purple,Good for eerie or dramatic effects. Beautiful backlight color. (Transmission = 16%).
R347,"[209, 1, 221]", Belladonna Rose,Powerful magenta-purple. Good effects filter for dance. (Transmission = 6%).
R48 ,"[200, 0, 207]",Rose Purple,Pale evening color. Excellent for backlight. (Transmission = 16%).
R348,"[218, 45, 255]", Purple Jazz,A dusky purple. Good for simulating purple neon or old night club atmosphere. (Transmission = 14%).
R49 ,"[201, 0, 230]",Medium Purple,Darkest of the magenta purple range. (Transmission = 4%).
R349,"[240, 0, 255]", Fisher Fuchsia,A medium fuchsia good for special effects. An interesting backlight or accent color. (Transmission = 11%).
R50 ,"[187, 0, 44]",Mauve,Subdued sunset effect. Useful in backlights. To create seedy atmosphere. (Transmission = 14%).
R351,"[239, 220, 255]", Lavender Mist,(Transmission = 61%).
R52 ,"[221, 191, 255]",Light Lavender,Excellent for general area or border light washes. It is a basic followspot color. (Transmission = 26%).
R53 ,"[228, 220, 255]",Pale Lavender,Use when a touch of color is needed. (Transmission = 64%).
R353,"[196, 173, 255]", Lilly Lavender,Same intensity as 55 with more red content. (Transmission = 29%).
R54 ,"[230, 199, 255]",Special Lavender,"Same as 53, but warmer. Useful for beams of realistic moonlight. (Transmission = 50%)."
R55 ,"[192, 170, 253]",Lilac,"Same as 53, but cooler. (Transmission = 37%)."
R355,"[165, 144, 255]", Pale Violet,A cool lavender which acts as a neutral in a three color area lighting system. Will work well as a wash for drops or set pieces. Tones the space. Effective as moonlight shadows. (Transmission = 20%).
R56 ,"[140, 47, 255]",Gypsy Lavender,"Highly saturated, good for side and backlighting and non-realistic effect. (Transmission = 4%)."
R356,"[195, 141, 255]", Middle Lavender,A lavender halfway between 52 and 57 in hue and value. Useful for general illumination and side-lighting. (Transmission = 27%).
R57 ,"[180, 130, 255]",Lavender,Excellent backlight. Gives good visibility without destroying night illusions. (Transmission = 24%).
R357,"[138, 43, 255]", Royal Lavender,"A rich lavender which will enhance blue and red costumes and scenic pieces. Excellent for nightime scenes. Rich, vivid accents, good in backgrounds. (Transmission = 5%)."
R58 ,"[147, 63, 253]",Deep Lavender,Excellent back light. Enhances dimensionality. (Trans.= 10%). (Transmission = 10%).
R358,"[142, 10, 234]", Rose Indigo,"A warm, red purple that recalls the Jazz Age. Useful for creating saturated color effects in live performance situations-club and musical group lighting. (Transmission = 5%)."
R59 ,"[114, 0, 255]",Indigo,"The original Congo Blue. A purple-blue, highly saturated, for modeling effects and non-realistic atmospheres. (Transmission = 2%)."
R359,"[104, 63, 255]", Medium Violet,Midnight and moonlight illusions. Enforces mysterious mood. Useful for evening cyc wash. (Transmission = 9%).
R61 ,"[211, 234, 255]",Mist Blue,Excellent for general area washes. Very light cool tint of blue. (Transmission = 66%).
R361,"[102, 158, 252]", Hemsley Blue,A sharp cold blue that stays clean when dimmed. (Transmission = 18%).
R62 ,"[161, 206, 255]",Booster Blue,Helps maintain white light when dimmer is at low intensity. (Transmission = 54%).
R63 ,"[164, 211, 255]",Pale Blue,Good for creating an overcast look and feeling. (Transmission = 56%).
R363,"[171, 233, 255]", Aquamarine,A pale blue-green color. Can be used for area lighting. A soft backlight color. (Transmission = 52%).
R64 ,"[80, 174, 253]",Light Steel Blue,Useful for beams of realistic moonlight. (Transmission = 26%).
R65 ,"[0, 169, 255]",Daylight Blue,Useful for achieving depressed moods and dull skies. (Transmission = 35%).
R66 ,"[148, 174, 255]",Cool Blue,A pale green shade of blue; good for area or general washes. Creates an icy feeling on stage. (Transmission = 67%).
R366,"[41, 192, 249]", Jordan Blue,More green than 65. A crisp light blue-green. (Transmission = 32%).
R67 ,"[20, 169, 255]",Light Sky Blue,Excellent sky color. Useful for cyc and border lights. (Transmission = 26%).
R367,"[68, 165, 255]", Slate Blue,Clean medium blue. Good for sky color or moonlight. (Transmission = 20%).
R68 ,"[68, 125, 255]",Parry Sky Blue,Excellent for early morning sky tones. Popular among designers for cyc and borders. (Transmission = 14%).
R368,"[68, 138, 255]", Winkler Blue,"A silvery blue, used for front light and moonlight. (Transmission = 16%)."
R69 ,"[0, 163, 247]",Brilliant Blue,Used for dramatic moonlight effects. (Transmission = 18%).
R369,"[0, 198, 255]", Tahitian Blue,Slightly more green than 69. (Transmission = 22%).
R70 ,"[108, 229, 255]",Nile Blue,Useful for very light midday skies. Occasionally used for general cool tint. (Transmission = 45%).
R370,"[1, 205, 223]", Italian Blue,Good to create eerie and mysterious effects. Good for night time water effects. (Transmission = 31%).
R71 ,"[0, 150, 199]",Sea Blue,Occasionally used for general cool tint and non-realistic washes. (Transmission = 30%).
R371,"[163, 168, 255]", Theatre Booster 1,Less red than 3202. (Transmission = 35%).
R72 ,"[85, 204, 255]",Azure Blue,A clean slightly green blue. Good moonlight fill. (Transmission = 44%).
R372,"[217, 220, 255]", Theatre Booster 2,Slightly lighter and less red than 3204. (Transmission = 55%).
R73 ,"[0, 164, 184]",Peacock Blue,"Good for fantasy, moonlight and water effects. (Transmission = 28%)."
R373,"[224, 233, 253]", Theatre Booster 3,Slightly lighter and less red than 3208. (Transmission = 72%).
R74 ,"[66, 0, 255]",Night Blue,Fantasy moonlight. Crisp and beautiful. Popular as a backlight or sidelight in contrast to area light. (Transmission = 4%).
R374,"[1, 164, 166]", Sea Green,For enhancing water scenes or deep sea environments. Greener than 73. (Transmission = 26%).
R75 ,"[0, 122, 172]",Twilight Blue,Less green & cresper than 76. (Transmission = 11%).
R76 ,"[0, 87, 115]",Light Green Blue,Distinctive greenish blues. Useful for romantic moonlight. (Transmission = 9%).
R377,"[113, 36, 255]", Iris Purple,Medium neutral lavendar. Good wash light. (Transmission = 11%).
R78 ,"[111, 111, 255]",Trudy Blue,A rich clean red blue that warms to lavender when dimmed. (Transmission = 19%).
R79 ,"[22, 38, 255]",Bright Blue,Cool clear bright blue. (Transmission = 8%).
R80 ,"[0, 72, 255]",Primary Blue,Primary blue. For use with three color light primary system in cyc lighting. (Transmission = 9%).
R81 ,"[72, 111, 255]",Urban Blue,Very cold brittle feeling. (Transmission = 10%).
R82 ,"[79, 52, 248]",Surprise Blue,Deep rich blue with slight amount of red. (Transmission = 6%).
R382,"[37, 0, 112]", Congo Blue,Deep blue more saturated than Roscolux 385. Good for dark night skies or for a backlight color. A great color for rock and roll concert lighting. (Transmission = 1%).
R83 ,"[2, 40, 236]",Medium Blue,Good for non-realistic night skies. (Transmission = 4%).
R383,"[0, 34, 209]", Sapphire Blue,A deep romantic blue on the red side. (Transmission = 4%).
R84 ,"[87, 103, 255]",Zephyr Blue,A true blue with excellent punch for bright skies. Lovely contrast to pale blues; adds coldness to shadows. (Transmission = 14%).
R384,"[5, 0, 208]", Midnight Blue,An intense red-blue. Deeper than 83 with a little more red. (Transmission = 2%).
R85 ,"[0, 73, 206]",Deep Blue,Deeply saturated blue with a hint of red. (Transmission = 3%).
R385,"[79, 2, 207]", Royal Blue,Excellent for non-realistic backgrounds. A very saturated blue. Pronounced red content that will shift toward purple when dimmed. Low transmission but will offer a striking contrast when used as a background with lighter accents. (Transmission = 4%).
R86 ,"[137, 250, 25]",Pea Green,Good for dense foliage and woodland effects. (Transmission = 56%).
R386,"[123, 211, 0]", Leaf Green,(Transmission = 32%).
R388,"[208, 245, 78]", Gaslight Green,"A yellow-green similar to the color emitted by gas lighting fixtures. Appropriate for period pieces: i.e. La Boheme, and useful for creating reflections from fields and meadows. (Transmission = 76%)."
R89 ,"[81, 246, 85]",Moss Green,"Useful for mood, mystery and toning. (Transmission = 45%)."
R389,"[41, 244, 51]", Chroma Green,Suggests reflected light from dense foliage. A brilliant cyc lighting color which will work for chroma-keying effects in television production (Transmission = 40%).
R90 ,"[0, 127, 6]",Dark Yellow Green,Alternate primary where higher transmission is desired. (Transmission = 13%).
R91 ,"[0, 94, 44]",Primary Green,Primary green for three color primary system. (Transmission = 7%).
R392,"[0, 148, 147]", Pacific Green,Cyc Wash. Good Costume color. Magical on skin. (Transmission = 20%).
R93 ,"[1, 163, 160]",Blue Green,Useful for mood of mystery and for toning scenery that has been spattered in blues. (Transmission = 35%).
R393,"[0, 113, 80]", Emerald Green,"An exagerrated green. Nearly double intensity as 93, less blue than 95. (Transmission = 14%)."
R94 ,"[0, 152, 93]",Kelly Green,Fantasy and unrealistic effects. Unflattering on skin tones. (Transmission = 25%).
R95 ,"[0, 156, 145]",Medium Blue Green,"Used on foliage in moonlight areas or for creating a mood of mystery. Good for toning scenery painted in blues, blue-greens and greens. (Transmission = 15%)."
R395,"[0, 114, 106]", Teal Green,A medium green-blue which can be used as a mystical special effect color. Also an interesting side or backlight color in concert lighting. (Transmission = 13%).
R96 ,"[243, 255, 107]",Lime,To simulate unnatural sunlight before and after a rainstorm or tornado. (Transmission = 98%).
R398,"[176, 180, 185]", Neutral Grey,A very neutral filter to balance brightness of lamps of different wattage without changing the color temperature. (Transmission = 40%).
R100,"[255, 255, 255]", Frost,Frost. Changes ellipsoidal to fresnel beam pattern.
R101,"[255, 255, 255]", Light Frost,Offers softened beam.Changes ellipsoidal into flood or scoop.
R104,"[255, 255, 255]", Tough Silk,"Creates a slash of light for stretching light along stairs, tables, cycs, etc. Diffuses while maintaining compactness of beam."
R113,"[255, 255, 255]", Matte Silk,Good for striplights and specials.
R114,"[255, 255, 255]", Hamburg Frost,A very light frost; good on followspots and PAR lamps.
R119,"[255, 255, 255]", Light Hamburg Frost,Lighter than 114. Recommended for followspots and slight diffuse focus for ellipsoldals.
R120,"[207, 0, 14]", Red Diffusion,"Combine a color with Matte Diffusion. Aids in broad, even illumination of cycs and drops. (Transmission = N/A)."
R121,"[15, 39, 255]", Blue Diffusion,"Combine a color with Matte Diffusion. Aids in broad, even illumination of cycs and drops. (Transmission = N/A)."
R122,"[30, 150, 0]", Green Diffusion,"Combine a color with Matte Diffusion. Aids in broad, even illumination of cycs and drops. (Transmission = N/A)."
R124,"[201, 0, 17]", Red Cyc Silk,Combine a color with 104 Tough Silk. (Transmission = N/A).
R125,"[0, 26, 255]", Blue Cyc Silk,Useful in border and striplights to prevent scalloping; helps illuminate cycs and drops. (Transmission = N/A).
R126,"[26, 143, 0]", Green Cyc Silk,Useful in border and striplights to prevent scalloping; helps illuminate cycs and drops. (Transmission = N/A).
R127,"[255, 67, 10]", Amber Cyc Silk,A secondary color combined with 104 Tough Silk. (Transmission = N/A).
R132,"[255, 255, 255]", Quarter Hamburg Frost,No Description
R140,"[255, 255, 255]", Subtle Hamburg Frost,No Description
R160,"[255, 255, 255]", Light Tough Silk,Retains the diffusion properties of 104 but with less light loss.
